PageId	ReferredLinks
P1 "['P8775', 'P5820', 'P6901', 'P10769', 'P5641', 'P5881', 'P17469', 'P18704', 'P20', 'P16291', 'P12915', 'P12926', 'P12605', 'P6561', 'P15924']"
P2 "['P14979', 'P7217', 'P11940', 'P1376', 'P1444', 'P15438', 'P1483', 'P6882']"
P3 "['P5501', 'P19754', 'P394', 'P7882', 'P17373', 'P5039', 'P3416', 'P2099', 'P14057', 'P2849', 'P17560', 'P15909', 'P12462', 'P1286', 'P7619', 'P12558', 'P19355', 'P2413', 'P405', 'P5336']"
P4 "['P15240', 'P14747', 'P13881', 'P2242', 'P5244']"
P5 "['P1652', 'P16254', 'P308', 'P6099', 'P17696', 'P19250', 'P3100', 'P15556', 'P15861', 'P16851', 'P6803', 'P6215', 'P19909', 'P16991']"
P6 "['P265', 'P19992', 'P4486', 'P3578', 'P18671']"
P7 "['P3751', 'P15672', 'P8862', 'P2301', 'P11204', 'P4162', 'P4', 'P16756', 'P15321', 'P8735', 'P1130', 'P6426', 'P11539']"
P8 "['P11606', 'P17238', 'P18495', 'P1230', 'P9909', 'P19919', 'P9288', 'P15046', 'P19229', 'P7291', 'P12714']"
P9 "['P5094', 'P9717', 'P11558', 'P12797', 'P3756', 'P12943', 'P10947', 'P1552']"
P10 "['P915', 'P3606']"
P11 "['P5679', 'P9171', 'P5788', 'P8958', 'P17245', 'P576', 'P6262', 'P445']"
P12 "['P7981', 'P11995', 'P7687', 'P389', 'P13453', 'P1075', 'P18980', 'P5857', 'P19968', 'P18999', 'P5042', 'P5944', 'P9404', 'P7646', 'P6896']"
P13 "['P3373', 'P1417']"
P14 "['P18978', 'P11855', 'P1459', 'P18954', 'P3756', 'P6030', 'P14078', 'P14874', 'P3755', 'P17980']"
P15 ['P7800']
P16 "['P6439', 'P16370', 'P14585', 'P3842', 'P10852', 'P18442', 'P11646', 'P18394', 'P18368', 'P11635', 'P1627', 'P2772', 'P661', 'P3542', 'P8085', 'P12284', 'P4116', 'P19228', 'P5577']"
P17 "['P5023', 'P13375', 'P11320', 'P438', 'P12156', 'P1174', 'P14585', 'P19437', 'P1192', 'P1010']"
P18 "['P574', 'P16044', 'P7071', 'P13841', 'P9145', 'P17573', 'P6289', 'P1658']"
